IRI,Name,Form
http://resource.geosciml.org/classifier/ics/ischart/Periods,Periode,"timescale,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Periods,Systeem,"stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Permian,Perm,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Phanerozoic,Fanerozoïcum,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Piacenzian,Piacenzien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Piacenzian,Reuverien,regcorrel
http://resource.geosciml.org/classifier/ics/ischart/Pleistocene,Pleistoceen,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Pliensbachian,Pliensbachien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Pliocene,Plioceen,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Pragian,Pragien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Precambrian,Precambrium,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Priabonian,Priabonien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Pridoli,Pridoli,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Proterozoic,Proterozoïcum,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Quaternary,Kwartair,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Rhaetian,Rhaetien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Rhuddanian,Rhuddanien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Rhyacian,Rhyacien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Roadian,Roadien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Rupelian,Rupelien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Sakmarian,Sakmarien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Sandbian,Sandbien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Santonian,Santonien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Selandian,Selandien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/CambrianSeries2,Cambrium Tijdvak 2,"timescale,longform"
http://resource.geosciml.org/classifier/ics/ischart/CambrianSeries2,Tijdvak 2,"timescale,shortform"
http://resource.geosciml.org/classifier/ics/ischart/CambrianSeries2,Cambrium Serie 2,"stratigraphic,longform"
http://resource.geosciml.org/classifier/ics/ischart/CambrianSeries2,Serie 2,"stratigraphic,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Serpukhovian,Serpukhovien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Serravallian,Serravallien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Serravallian,Langeveld,regcorrel
http://resource.geosciml.org/classifier/ics/ischart/Sheinwoodian,Sheinwoodien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Siderian,Siderien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Silurian,Siluur,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Sinemurian,Sinemurien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/CambrianStage10,Cambrium Tijd 10,"timescale,longform"
http://resource.geosciml.org/classifier/ics/ischart/CambrianStage10,Tijd 10,"timescale,shortform"
http://resource.geosciml.org/classifier/ics/ischart/CambrianStage2,Cambrium Tijd 2,"timescale,longform"
http://resource.geosciml.org/classifier/ics/ischart/CambrianStage2,Tijd 2,"timescale,shortform"
http://resource.geosciml.org/classifier/ics/ischart/CambrianStage3,Cambrium Tijd 3,"timescale,longform"
http://resource.geosciml.org/classifier/ics/ischart/CambrianStage3,Tijd 3,"timescale,shortform"
http://resource.geosciml.org/classifier/ics/ischart/CambrianStage4,Cambrium Tijd 4,"timescale,longform"
http://resource.geosciml.org/classifier/ics/ischart/CambrianStage4,Tijd 4,"timescale,shortform"
http://resource.geosciml.org/classifier/ics/ischart/CambrianStage10,Cambrium Etage 10,"timescale,stratigraphic,longform"
http://resource.geosciml.org/classifier/ics/ischart/CambrianStage10,Etage 10,"timescale,stratigraphic,shortform"
http://resource.geosciml.org/classifier/ics/ischart/CambrianStage2,Cambrium Etage 2,"timescale,stratigraphic,longform"
http://resource.geosciml.org/classifier/ics/ischart/CambrianStage2,Etage 2,"timescale,stratigraphic,shortform"
http://resource.geosciml.org/classifier/ics/ischart/CambrianStage3,Cambrium Etage 3,"timescale,stratigraphic,longform"
http://resource.geosciml.org/classifier/ics/ischart/CambrianStage3,Etage 3,"timescale,stratigraphic,shortform"
http://resource.geosciml.org/classifier/ics/ischart/CambrianStage4,Cambrium Etage 4,"timescale,stratigraphic,longform"
http://resource.geosciml.org/classifier/ics/ischart/CambrianStage4,Etage 4,"timescale,stratigraphic,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Statherian,Statherien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Stenian,Stenien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/SubPeriod,Subperiode,"timescale,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/SuperEons,Supereon,"timescale,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/SubPeriod,Subsysteem,"stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/SuperEons,Supereonotheem,"stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Telychian,Telychien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Terreneuvian,Terreneuvien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Thanetian,Thanetien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Tithonian,Tithonien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Toarcian,Toarcien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Tonian,Tonien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Tortonian,Tortonien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Tortonian,Linne,regcorrel
http://resource.geosciml.org/classifier/ics/ischart/Tournaisian,Tournaisien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Tremadocian,Tremadocien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Triassic,Trias,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Turonian,Turonien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Valanginian,Vanlangien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Visean,Viséen,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Wenlock,Wenlock,"timescale,stratigraphic,longform,shortform"
